"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.80771031571095e-207,4.93170486778178,0.64,0.05,8.80051373290889e-203,"0","ENSMMUG00000031200"
1.30547477558413e-196,5.25578317088377,0.533,0.032,2.38967157670675e-192,"0","HP"
5.05175658578103e-194,4.56517071129462,0.68,0.059,9.24724043027217e-190,"0","LCN2"
4.99792322947251e-135,4.87826710185636,0.478,0.034,9.14869847154942e-131,"0","OLFM4"
1.68653179748915e-132,5.47170266934262,0.39,0.019,3.08719645530388e-128,"0","IL1R2"
1.19010246225546e-107,3.84813956157112,0.652,0.088,2.17848255715862e-103,"0","CD14"
5.63305605734919e-99,3.78580873908922,0.722,0.149,1.03113091129777e-94,"0","GRN"
1.80720302917876e-78,3.43495457604247,0.728,0.099,3.30808514491171e-74,"0","VNN2"
1.88607896643744e-74,4.53803979553583,0.37,0.021,3.45246754806374e-70,"0","LTF"
1.68987377244574e-66,3.16925132967725,0.612,0.095,3.09331394046193e-62,"0","MCEMP1"
7.37208804549786e-58,3.2169835336646,0.447,0.078,1.34946071672838e-53,"0","ALOX5AP"
8.44640280793025e-58,3.13938427238018,0.502,0.086,1.54611403399163e-53,"0","MMP25"
1.89054052764973e-53,3.16996205774389,0.295,0.042,3.46063443586283e-49,"0","ALPL"
1.90387202333674e-53,3.71257034830995,0.41,0.043,3.4850377387179e-49,"0","MMP8"
7.90610906415288e-53,3.62234267923036,0.933,0.244,1.44721326419318e-48,"0","IFI27"
1.43751960226077e-52,3.02008539696293,0.762,0.142,2.63137963193834e-48,"0","CAMP"
1.03327737205302e-49,2.69757429405245,0.437,0.111,1.89141422954305e-45,"0","ENSMMUG00000019251"
2.70072533698868e-48,3.4492943152133,0.297,0.036,4.94367772935778e-44,"0","PADI4"
7.49749654736939e-47,2.77213291438691,0.752,0.131,1.37241674299597e-42,"0","CSF3R"
1.50880689047346e-46,3.06767802934858,0.525,0.104,2.76187101301167e-42,"0","ITGAM"
4.05853940803297e-45,2.62852932125618,0.9,0.403,7.42915638640435e-41,"0","FTL"
3.60388758077597e-44,3.15076054155276,0.492,0.096,6.59691621661041e-40,"0","HK3"
2.60354605078185e-43,3.06534854806102,0.688,0.165,4.76579104595618e-39,"0","CTSD"
5.05585148486989e-42,3.56958362014005,0.288,0.043,9.25473614305433e-38,"0","SLC39A8"
6.14354650897048e-42,3.36023924043794,0.263,0.037,1.12457618846705e-37,"0","FPR1"
1.73774868563292e-39,2.32102975921187,0.382,0.108,3.18094896905105e-35,"0","BAZ2B"
3.2742349175742e-39,2.95701106128035,0.282,0.045,5.99348701661958e-35,"0","FHAD1"
5.84236003038665e-39,2.93153731613943,0.377,0.066,1.06944400356228e-34,"0","PTAFR"
6.67666905442305e-38,2.97770774168007,0.328,0.06,1.22216427041214e-33,"0","NFE2"
2.08748782244936e-36,2.95731898391917,0.617,0.113,3.82114645899355e-32,"0","S100P"
4.34934626185667e-36,2.72902276878739,0.423,0.105,7.96147833232864e-32,"0","SPATS2L"
2.83450381968545e-35,2.86158635752505,0.612,0.171,5.18855924193421e-31,"0","WARS"
9.08194825322862e-34,2.52463431204922,0.433,0.11,1.6624506277535e-29,"0","ENSMMUG00000013256"
1.39147953786466e-32,2.52959092731308,0.685,0.153,2.54710329406127e-28,"0","IDO1"
2.44317474134272e-31,2.54557682806619,0.282,0.075,4.47223136402785e-27,"0","HIST1H2BD"
8.60765944412015e-31,2.41907739666062,0.355,0.108,1.57563206124619e-26,"0","LST1"
9.60167896354561e-31,2.70532365331859,0.845,0.167,1.75758733427702e-26,"0","VCAN"
3.15035271852929e-30,2.10690358887722,0.517,0.193,5.76672065126786e-26,"0","NADK"
6.34043984642636e-30,3.27625436637134,0.332,0.05,1.16061751388834e-25,"0","MMP9"
7.27098362421241e-30,2.7155719108876,0.258,0.045,1.33095355241208e-25,"0","P2RY13"
8.75205274703067e-30,2.44052914790956,0.54,0.169,1.60206325534396e-25,"0","PGD"
1.00726681167521e-29,2.34247973332439,0.527,0.126,1.84380189877148e-25,"0","LIMK2"
1.36180808902782e-29,2.89633805714459,0.427,0.086,2.49278970696543e-25,"0","CKAP4"
1.45115560309681e-29,2.14040211074292,0.71,0.32,2.65634033146871e-25,"0","APLP2"
3.95701091012499e-28,2.72333074107218,0.263,0.048,7.2433084709838e-24,"0","DYSF"
7.95910689288973e-28,2.41665759184711,0.472,0.139,1.45691451674347e-23,"0","SERPINA1"
1.62092020161651e-27,2.07932033411977,0.693,0.191,2.96709442905902e-23,"0","LITAF"
1.94819772350493e-27,2.1626452635869,0.512,0.163,3.56617593287577e-23,"0","FGR"
1.37606590406445e-26,2.70843865635465,0.34,0.074,2.51888863738997e-22,"0","ENSMMUG00000037684"
2.95421973147804e-26,2.5972122745712,0.99,0.24,5.40769921847055e-22,"0","S100A8"
3.62995769743286e-26,2.30469001821185,0.395,0.119,6.64463756515085e-22,"0","GRINA"
4.54439798206264e-26,4.13810801101878,0.558,0.069,8.31852050616567e-22,"0","IL2RA"
1.4735770287165e-25,2.07654756652705,0.687,0.317,2.69738275106556e-21,"0","MAMU-A3"
9.01538501396942e-25,2.60886281735601,0.997,0.28,1.6502662268071e-20,"0","S100A9"
4.067112225445e-24,2.53551008575364,0.338,0.077,7.44484892867708e-20,"0","CSTA"
7.99004337002175e-24,2.71575400228328,0.263,0.051,1.46257743888248e-19,"0","SIGLEC5"
2.27828831026555e-23,2.62776021608093,0.625,0.158,4.17040675194108e-19,"0","CYBB"
7.3278760635701e-23,2.52976069233958,0.3,0.064,1.34136771343651e-18,"0","PYGL"
2.8587723633842e-22,2.15602837157625,0.528,0.138,5.23298281117478e-18,"0","ACSL1"
3.27151188451301e-22,2.32062519922165,0.358,0.1,5.98850250460106e-18,"0","SLC11A1"
5.27557515907058e-22,2.2541011480604,0.487,0.178,9.6569403286787e-18,"0","ENSMMUG00000042067"
6.03442098151435e-22,2.84641834379832,0.317,0.055,1.1046007606662e-17,"0","ANKRD22"
1.21064281290968e-21,2.29340131788704,0.38,0.11,2.21608166903117e-17,"0","OASL"
1.33555379210332e-20,2.64078712210662,0.258,0.065,2.44473121644513e-16,"0","SEMA4A"
2.06093714105738e-20,2.30439073704079,0.338,0.089,3.77254543670553e-16,"0","PSTPIP2"
1.24801974278441e-19,2.60873882329802,0.578,0.172,2.28450013916686e-15,"0","IFI6"
1.51166146936247e-19,2.50062971587333,0.298,0.068,2.76709631966801e-15,"0","C19orf38"
1.70466191863514e-19,2.39906016164619,0.552,0.143,3.12038364206163e-15,"0","PLBD1"
2.88754393222741e-19,3.02637142015367,0.287,0.056,5.28564916794228e-15,"0","AOAH"
5.77051455685944e-19,2.44581132425924,0.345,0.1,1.05629268963312e-14,"0","FES"
2.95293292388837e-18,2.02871679106686,0.25,0.077,5.40534371717766e-14,"0","STX3"
3.64898353934992e-18,2.03649538377019,0.66,0.341,6.67946436878003e-14,"0","MAMU-A"
3.84344014463123e-18,2.01474312577464,0.455,0.132,7.03541718474746e-14,"0","NCF2"
3.09021632569807e-17,2.12273229253283,0.357,0.122,5.65664098419032e-13,"0","OAS1"
8.68805731013955e-17,3.37259252468553,0.348,0.048,1.59034889062104e-12,"0","ENSMMUG00000046717"
1.33848206171726e-16,2.04900188578732,0.363,0.14,2.45009141397345e-12,"0","BRI3"
7.95580431060211e-15,2.35356108706831,0.257,0.07,1.45630997905572e-10,"0","SIRPB2"
6.68470430457126e-13,2.22020583701489,0.457,0.173,1.22363512295177e-08,"0","CD63"
1.70381702196616e-12,2.49135849411526,0.253,0.071,3.11883705870906e-08,"0","TYMP"
3.20514199292269e-12,3.16937421056135,0.328,0.056,5.86701241804499e-08,"0","CD163"
1.22537651060836e-10,2.09988308763446,0.277,0.073,2.2430517026686e-06,"0","C3AR1"
1.26724011570256e-08,2.41208707597902,0.413,0.113,0.000231968303179353,"0","ENSMMUG00000041317"
7.06108105858543e-08,2.33379707689158,0.255,0.075,0.00129253088777406,"0","ENSMMUG00000044294"
3.11842629982383e-94,2.10008405116226,0.504,0.077,5.70827934182752e-90,"1","LEF1"
6.86091856379763e-91,2.11645303043717,0.599,0.107,1.25589114310316e-86,"1","TCF7"
2.71930264948428e-81,2.20128917993562,0.371,0.057,4.97768349988098e-77,"1","TNFRSF25"
1.27666709679752e-75,2.12593072534102,0.861,0.204,2.33693912068786e-71,"1","IL7R"
9.613923732906e-64,2.03647565258581,0.409,0.076,1.75982873930844e-59,"1","S1PR1"
1.25448492460461e-59,2.14309812900631,0.53,0.119,2.29633465448875e-55,"1","TRIB2"
8.00771363598649e-55,2.07432266991834,0.411,0.071,1.46581198106733e-50,"1","ITM2A"
2.21566226525895e-52,2.27795916829518,0.648,0.126,4.0557697765565e-48,"1","SPOCK2"
4.63779446568476e-48,2.11867835105699,0.274,0.037,8.48948276943595e-44,"1","RCAN3"
1.60118525046925e-47,2.55759080655418,0.289,0.042,2.93096960098396e-43,"1","CYB5A"
1.85767796930572e-42,2.06397718327909,0.321,0.062,3.40047952281411e-38,"1","TOB1"
