"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.44824185495191e-102,2.608957683977,0.345,0.064,6.31200671548947e-98,"0","LEF1"
3.4933515854211e-87,2.20900490839565,0.662,0.174,6.39458007711332e-83,"0","IL7R"
6.98034980277447e-83,2.58480279344419,0.287,0.063,1.27775303139787e-78,"0","CA6"
1.6315167384395e-74,2.36438631575826,0.362,0.103,2.98649138971351e-70,"0","TRIB2"
7.15069425002044e-71,2.43850962294634,0.28,0.065,1.30893458246624e-66,"0","ITM2A"
2.86951982614626e-66,2.19826284113106,0.398,0.09,5.25265604176074e-62,"0","TCF7"
1.69438199093671e-61,2.13673748981814,0.383,0.119,3.10156623440965e-57,"0","KCNA3"
5.2109026032106e-61,2.12658232171683,0.37,0.099,9.538557215177e-57,"0","ITGA6"
6.88476967699793e-57,2.12369273975237,0.273,0.074,1.26025708937447e-52,"0","ITK"
4.19897141914082e-51,2.31867216365453,0.39,0.094,7.68621718273726e-47,"0","SPOCK2"
0,5.62458947740325,0.807,0.038,0,"1","MS4A1"
0,5.98656066481456,0.584,0.017,0,"1","CD19"
0,3.90450426154382,0.608,0.065,0,"1","BANK1"
0,4.99966231821249,0.557,0.03,0,"1","CD79B"
1.0068744625019e-288,3.64854885495594,0.616,0.085,1.84308370360973e-284,"1","SWAP70"
1.7182467207392e-281,4.92829197082835,0.443,0.03,3.1452506223131e-277,"1","CD79A"
1.91169626306877e-174,3.14320307826936,0.44,0.068,3.49936000954738e-170,"1","MTSS1"
8.35787322730361e-172,2.83872928978562,0.503,0.125,1.52990869425793e-167,"1","KIAA0040"
2.60813691515841e-151,4.08404086356511,0.468,0.041,4.77419462319747e-147,"1","MAMU-DMB"
4.59581659005485e-150,4.8558592355943,0.256,0.009,8.41264226809541e-146,"1","CD22"
4.32906986233656e-149,3.49706440046605,0.376,0.049,7.92436238300707e-145,"1","WDFY4"
2.37946939309747e-146,3.93971162021164,0.42,0.043,4.35561872406492e-142,"1","MEF2C"
5.05312751199018e-136,3.5720008529689,0.277,0.031,9.24974991069803e-132,"1","RALGPS2"
4.21738104559737e-124,2.42943526544688,0.566,0.171,7.71991600396599e-120,"1","SMC6"
1.76789033507327e-112,3.82390979727442,0.495,0.054,3.23612325835162e-108,"1","HLA-DQA1"
1.99676093868996e-112,2.88531669908208,0.307,0.057,3.65507089827198e-108,"1","HIP1R"
3.91592578815673e-109,3.23463879301857,0.318,0.043,7.1681021552209e-105,"1","SP140"
8.69725121942145e-105,3.9048561044054,0.309,0.036,1.5920318357151e-100,"1","FAM3C"
1.97359690971442e-103,3.03797305003721,0.457,0.076,3.61266914323225e-99,"1","DST"
3.52647466428746e-90,2.88048761556294,0.256,0.043,6.4552118729782e-86,"1","ITGAX"
1.36351770398946e-86,2.99463639442305,0.305,0.065,2.49591915715271e-82,"1","TSPAN3"
3.22736606302997e-77,2.50624288805152,0.454,0.149,5.90769357837635e-73,"1","GPR183"
1.19717419535032e-73,2.09208341772218,0.316,0.098,2.19142736458876e-69,"1","IQSEC1"
4.72487242369282e-73,3.49834946577521,0.405,0.049,8.64887897156972e-69,"1","MAMU-DMA"
2.68386613420491e-71,2.51510859505446,0.269,0.071,4.91281695866209e-67,"1","KDM4B"
2.01318028053269e-64,2.77909857551267,0.508,0.115,3.6851265035151e-60,"1","CCDC88A"
1.19331413353672e-63,3.13338815822303,0.546,0.091,2.18436152143897e-59,"1","MAMU-DPB"
9.4698248772092e-62,2.30119162719882,0.351,0.1,1.73345144377314e-57,"1","SNX5"
6.96040855860626e-57,3.36385823309301,0.646,0.098,1.27410278665288e-52,"1","MAMU-DRA"
9.28510416083749e-57,3.13876162207689,0.271,0.043,1.6996383166413e-52,"1","FGD2"
1.22815185388094e-56,2.78259869405007,0.633,0.12,2.24813196852905e-52,"1","MAMU-DPA"
2.72827299146556e-55,3.51030063344973,0.417,0.043,4.9941037108777e-51,"1","TCF4"
1.51086245688464e-54,2.05716670009154,0.284,0.094,2.76563372732733e-50,"1","DGKD"
1.6984480297948e-53,3.38691179869245,0.368,0.046,3.10900911853938e-49,"1","MAMU-DQA1"
2.47071283519472e-39,2.82913748013606,0.311,0.057,4.52263984482394e-35,"1","CD74"
1.62444190959764e-27,2.62546193836083,0.553,0.08,2.97354091551848e-23,"1","IGHM"
1.04333847603959e-21,2.93881465770211,0.295,0.046,1.90983108039047e-17,"1","ENSMMUG00000008227"
3.18430009568787e-19,2.83338870729382,0.332,0.059,5.82886132515665e-15,"1","MAMU-DRB1"
0,4.78071760707123,0.73,0.048,0,"2","LCN2"
0,4.69008119721159,0.588,0.041,0,"2","ENSMMUG00000031200"
0,5.08317648492574,0.56,0.034,0,"2","OLFM4"
9.06764344877834e-279,4.56290734849436,0.512,0.031,1.65983213329888e-274,"2","MMP8"
8.87049750045043e-268,4.88237861238664,0.382,0.022,1.62374456745745e-263,"2","LTF"
1.5666429454213e-250,3.85858593830671,0.722,0.079,2.86773991159369e-246,"2","VNN2"
4.00706863508537e-250,3.73998541946847,0.67,0.074,7.33493913652378e-246,"2","MCEMP1"
2.26078019328752e-239,5.00379016435381,0.374,0.02,4.13835814381281e-235,"2","IL1R2"
2.51825298836409e-229,4.84539127291958,0.371,0.023,4.60966209520047e-225,"2","HP"
1.16529611821709e-206,3.54820647087303,0.784,0.127,2.13307454439638e-202,"2","CAMP"
5.17112827298723e-191,4.1074446054663,0.405,0.041,9.46575030370312e-187,"2","MMP9"
1.35049720603996e-161,3.94895542346341,0.319,0.026,2.47208513565614e-157,"2","ALPL"
3.07193512314543e-150,3.39350139840013,0.741,0.167,5.62317724291771e-146,"2","CTSD"
1.01784522003424e-133,3.61288767790627,0.567,0.072,1.86316567527268e-129,"2","CD14"
3.91084407293944e-130,3.89291179778475,0.28,0.024,7.15880007551564e-126,"2","PADI4"
1.95161812363527e-123,3.02835827425746,0.493,0.079,3.57243697531436e-119,"2","MMP25"
6.24162372624952e-119,3.30152793847639,0.647,0.14,1.14252922308997e-114,"2","GRN"
1.74498181019263e-107,2.93936638894785,0.726,0.104,3.1941892035576e-103,"2","CSF3R"
7.54055719163666e-103,2.88067917441628,0.554,0.096,1.38029899392909e-98,"2","LIMK2"
3.85079768547955e-101,3.21136438602846,0.338,0.046,7.04888516327032e-97,"2","NFE2"
5.6066891925744e-94,2.51488962649031,0.421,0.111,1.02630445670074e-89,"2","GRINA"
7.55106470506806e-92,3.8510972855264,0.354,0.044,1.38222239426271e-87,"2","SLC39A8"
2.0428555799742e-91,4.25776890289292,0.544,0.055,3.73944713914277e-87,"2","IL2RA"
1.15909490683243e-88,3.22806907611119,0.292,0.039,2.12172322695676e-84,"2","FHAD1"
2.58443555148034e-86,3.05044832717997,0.372,0.066,4.73080927698477e-82,"2","ALOX5AP"
2.19150867202294e-85,2.93574347659195,0.262,0.047,4.01155662413798e-81,"2","ATP6V0A1"
6.23803455515208e-84,2.47249743639372,0.691,0.164,1.14187222532059e-79,"2","LITAF"
1.09531305336734e-83,3.27272484500946,0.43,0.067,2.00497054418892e-79,"2","CKAP4"
9.46967805866759e-83,2.74837942846182,0.407,0.087,1.7334245686391e-78,"2","BAZ2B"
6.29015401679132e-81,2.86940437435995,0.258,0.037,1.15141269277365e-76,"2","LTB4R"
1.39411567280223e-80,3.03139695148347,0.37,0.058,2.55192873906449e-76,"2","PTAFR"
4.77559296266936e-80,2.38996156923489,0.861,0.405,8.74172291816627e-76,"2","FTL"
4.09364206678306e-79,2.9285946765816,0.998,0.304,7.49341180324639e-75,"2","S100A9"
