"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.74674442116154,0.64,0.113,0,"T CD4+","IL7R"
1.34935045091291e-284,3.20180128859998,0.405,0.041,2.46998600039608e-280,"T CD4+","TCF7"
6.79786795226888e-218,3.59348010862798,0.341,0.025,1.24434972866282e-213,"T CD4+","LEF1"
1.53744685298067e-213,2.83068700832314,0.374,0.057,2.81429646438111e-209,"T CD4+","ITGA6"
2.26104979172057e-168,3.00980678974871,0.27,0.039,4.13885164374451e-164,"T CD4+","CA6"
9.30743110425732e-164,2.09609756590096,0.414,0.125,1.7037252636343e-159,"T CD4+","DYRK2"
1.11877157533811e-150,2.95535459089475,0.383,0.054,2.04791136865642e-146,"T CD4+","SPOCK2"
1.9397543870514e-143,2.5849528845671,0.344,0.075,3.55072040549758e-139,"T CD4+","TRIB2"
1.54930695025895e-140,2.61851055418839,0.273,0.045,2.836006372449e-136,"T CD4+","ITK"
1.03431806964872e-127,2.3372066180639,0.362,0.092,1.89331922649199e-123,"T CD4+","KCNA3"
3.62288599046708e-125,2.57763865256145,0.263,0.043,6.63169280554998e-121,"T CD4+","ITM2A"
1.45892321485307e-87,2.19844480197185,0.259,0.059,2.67055894478854e-83,"T CD4+","DGKA"
0,5.65433207364949,0.809,0.037,0,"B","MS4A1"
0,5.98391519766421,0.586,0.017,0,"B","CD19"
0,3.91767448189392,0.61,0.064,0,"B","BANK1"
0,5.00923273074997,0.559,0.029,0,"B","CD79B"
1.91350827301304e-296,3.66194285822151,0.617,0.084,3.50267689375037e-292,"B","SWAP70"
6.26421577857059e-281,4.92454367131175,0.444,0.03,1.14666469826735e-276,"B","CD79A"
8.14969325668949e-176,3.14993381586762,0.442,0.067,1.49180135063701e-171,"B","MTSS1"
2.66340899511197e-172,2.83942545105102,0.505,0.125,4.87537016555246e-168,"B","KIAA0040"
1.58194417815086e-151,4.11383929819672,0.469,0.04,2.89574881810514e-147,"B","MAMU-DMB"
8.69110906430461e-151,3.49430344651776,0.377,0.048,1.59090751422096e-146,"B","WDFY4"
4.5524834416683e-150,3.95141784638009,0.42,0.042,8.33332093997381e-146,"B","MEF2C"
1.01084931092484e-149,4.84963617847514,0.256,0.009,1.85035966364793e-145,"B","CD22"
4.29881415133332e-136,3.5714111989171,0.278,0.031,7.86897930401564e-132,"B","RALGPS2"
2.02733884498023e-126,2.42727064962054,0.568,0.172,3.71104375573632e-122,"B","SMC6"
8.49969418164228e-115,3.84768652493142,0.497,0.053,1.55586901994962e-110,"B","HLA-DQA1"
1.33593298412667e-111,2.87702826150222,0.307,0.057,2.44542532744387e-107,"B","HIP1R"
1.66979874777651e-110,3.24058877420873,0.32,0.043,3.05656660780489e-106,"B","SP140"
8.61815516916791e-107,3.07718515994944,0.458,0.075,1.57755330371619e-102,"B","DST"
2.2314501762784e-105,3.90203434917923,0.31,0.036,4.08466954767762e-101,"B","FAM3C"
2.23070903492326e-96,2.88784650609126,0.256,0.043,4.08331288842703e-92,"B","ITGAX"
3.70656106393214e-91,3.0096224280661,0.306,0.064,6.78486002752778e-87,"B","TSPAN3"
5.7093918985631e-77,2.50893934318503,0.456,0.149,1.04510418703198e-72,"B","GPR183"
5.45442563111535e-76,2.08066237714737,0.317,0.099,9.98432611775665e-72,"B","IQSEC1"
1.46181281809906e-75,3.51371118077967,0.406,0.048,2.67584836353034e-71,"B","MAMU-DMA"
3.2338902045893e-72,2.52164898504619,0.27,0.072,5.91963601950072e-68,"B","KDM4B"
1.57895610379148e-69,2.82037731356675,0.51,0.113,2.8902791479903e-65,"B","CCDC88A"
6.21776532028776e-65,3.15339355373303,0.548,0.09,1.13816194187867e-60,"B","MAMU-DPB"
6.6387800061507e-63,2.29743887776113,0.351,0.1,1.21522868012588e-58,"B","SNX5"
3.08926235827184e-60,3.38169445500307,0.647,0.097,5.65489474681661e-56,"B","MAMU-DRA"
1.5759700060631e-59,2.81461774483158,0.636,0.119,2.8848130960985e-55,"B","MAMU-DPA"
6.95651275853519e-59,3.57493240353203,0.419,0.043,1.27338966044987e-54,"B","TCF4"
1.42647892422806e-57,3.16064928831343,0.272,0.043,2.61116967079947e-53,"B","FGD2"
8.24758504223824e-56,3.42144893395457,0.368,0.045,1.50972044198171e-51,"B","MAMU-DQA1"
1.14946072777713e-54,2.05192997104147,0.284,0.095,2.10408786219603e-50,"B","DGKD"
9.03976914935672e-41,2.81647048152807,0.308,0.057,1.65472974278975e-36,"B","CD74"
7.49809268725871e-28,2.64088863997493,0.555,0.079,1.37252586640271e-23,"B","IGHM"
2.23078500606898e-24,2.93912927903832,0.295,0.045,4.08345195360928e-20,"B","ENSMMUG00000008227"
1.58761908168216e-21,2.83376017827772,0.333,0.059,2.9061367290192e-17,"B","MAMU-DRB1"
0,4.38824778995737,0.957,0.189,0,"Neutrophils","SOD2"
0,4.64056780077572,0.785,0.07,0,"Neutrophils","CAMP"
0,4.85485410069168,0.749,0.045,0,"Neutrophils","CSF3R"
0,5.02170986121831,0.736,0.04,0,"Neutrophils","CD177"
0,3.83022386305691,0.811,0.145,0,"Neutrophils","IFIT1"
0,4.00710433424826,0.748,0.101,0,"Neutrophils","LITAF"
0,5.03044640204542,0.667,0.04,0,"Neutrophils","VNN2"
0,2.99030294475806,0.941,0.345,0,"Neutrophils","SELL"
0,5.04322291341636,0.633,0.049,0,"Neutrophils","IL1RN"
0,5.15323057470217,0.601,0.028,0,"Neutrophils","LCN2"
0,4.58423667966957,0.61,0.04,0,"Neutrophils","MCEMP1"
0,3.78861723491378,0.663,0.101,0,"Neutrophils","SLC25A37"
0,3.59253256537344,0.674,0.117,0,"Neutrophils","NBN"
0,4.10424689088166,0.715,0.168,0,"Neutrophils","IFIT2"
0,3.90872650461279,0.621,0.078,0,"Neutrophils","CSF2RB"
0,4.31947028531369,0.574,0.052,0,"Neutrophils","LIMK2"
0,4.11188094577258,0.575,0.06,0,"Neutrophils","ACSL1"
0,3.29618372536311,0.654,0.159,0,"Neutrophils","IFIT3"
0,2.68519402209315,0.813,0.324,0,"Neutrophils","ZCCHC6"
0,5.36883591847526,0.501,0.02,0,"Neutrophils","ENSMMUG00000031200"
0,4.17274188473651,0.51,0.046,0,"Neutrophils","CD14"
0,5.16532810480543,0.451,0.021,0,"Neutrophils","OLFM4"
0,4.98548930743882,0.426,0.024,0,"Neutrophils","GCA"
1.41493050748995e-299,5.23885059627565,0.43,0.014,2.59003029396035e-295,"Neutrophils","MMP8"
1.18476337630761e-297,4.06828132721915,0.483,0.047,2.16870936033109e-293,"Neutrophils","MMP25"
3.32386914980138e-288,4.27343958898551,0.996,0.245,6.08434247871143e-284,"Neutrophils","S100A9"
9.07541498605201e-281,4.92125792539584,0.375,0.018,1.66125471319682e-276,"Neutrophils","MMP9"
1.48127852112469e-274,2.95062372121991,0.792,0.286,2.71148033291875e-270,"Neutrophils","GBP2"
2.94822588874699e-259,4.47633150856132,0.386,0.036,5.39672748935137e-255,"Neutrophils","ALOX5AP"
2.42232607476169e-246,2.71323994837928,0.649,0.167,4.43406787985128e-242,"Neutrophils","DDX58"
5.81117811824218e-241,3.38662504178663,0.591,0.125,1.06373615454423e-236,"Neutrophils","BCL2A1"
1.68310766028343e-240,4.04502760317603,0.986,0.195,3.08092857214882e-236,"Neutrophils","S100A8"
5.79401851443772e-239,2.61218466812516,0.918,0.386,1.06059508906782e-234,"Neutrophils","ISG15"
2.50342146162312e-235,4.89986263438995,0.303,0.014,4.58251298550111e-231,"Neutrophils","LTF"
4.0568546386001e-219,3.19577940837467,0.413,0.077,7.42607241595749e-215,"Neutrophils","ENSMMUG00000013256"
2.5807987485389e-218,3.52451501269758,0.493,0.068,4.72415210920046e-214,"Neutrophils","NCF2"
1.44991835259897e-212,5.55590485420779,0.317,0.009,2.65407554443242e-208,"Neutrophils","HP"
8.07542242380547e-207,3.07595638464826,0.603,0.138,1.47820607467759e-202,"Neutrophils","SLC16A3"
5.54570117826105e-205,4.56219420516001,0.337,0.021,1.01514060068068e-200,"Neutrophils","NFE2"
7.69021332088003e-201,2.07105972732757,0.845,0.425,1.40769354838709e-196,"Neutrophils","FYB1"
1.66615030396639e-199,2.84354836035338,0.681,0.187,3.04988813141048e-195,"Neutrophils","IRF7"
1.08649121105984e-196,3.61134829046172,0.674,0.084,1.98882216184503e-192,"Neutrophils","IDO1"
2.14787734988337e-194,4.17268241496731,0.339,0.027,3.9316894889615e-190,"Neutrophils","PYGL"
1.03279381616982e-192,4.02793856259923,0.405,0.043,1.89052908049886e-188,"Neutrophils","CKAP4"
1.49737087447829e-188,5.16348943230008,0.294,0.012,2.74093738573251e-184,"Neutrophils","IL1R2"
7.47182465596765e-184,3.87722151911568,0.368,0.037,1.36771750327488e-179,"Neutrophils","ENSMMUG00000037684"
2.38912786009454e-181,2.03761645923499,0.875,0.532,4.37329854790305e-177,"Neutrophils","NFKBIA"
1.17217267082918e-177,2.28996281644258,0.649,0.243,2.14566207395281e-173,"Neutrophils","SAMD9"
2.54805211925036e-176,3.51417072673499,0.43,0.063,4.66420940428778e-172,"Neutrophils","FAM129A"
4.12530036243075e-174,3.29393125107053,0.516,0.088,7.5513623134295e-170,"Neutrophils","SERPINA1"
6.56018403729178e-173,2.91215597102914,0.414,0.086,1.20084168802626e-168,"Neutrophils","GRINA"
7.21429876253064e-173,5.33787546244905,0.295,0.009,1.32057738848123e-168,"Neutrophils","CXCR1"
4.61575785664568e-172,2.58912543180984,0.826,0.315,8.44914475658991e-168,"Neutrophils","SAT1"
2.88751103274967e-170,3.23939691035436,0.405,0.06,5.28558894544827e-166,"Neutrophils","BAZ2B"
3.41041465336124e-169,4.68420141123124,0.279,0.013,6.24276402297775e-165,"Neutrophils","SIGLEC5"
4.64893605253283e-168,4.51016274440513,0.287,0.018,8.50987744416134e-164,"Neutrophils","TREM1"
7.16463290365737e-168,2.65621394744589,0.544,0.148,1.31148605301448e-163,"Neutrophils","NADK"
7.18173830906277e-165,3.4153494554724,0.473,0.069,1.31461719747394e-160,"Neutrophils","MARCKS"
2.02001588665236e-162,3.16881409809193,0.398,0.083,3.69763908051714e-158,"Neutrophils","ENSMMUG00000041662"
6.8081170207662e-162,4.01002196796812,0.277,0.021,1.24622582065125e-157,"Neutrophils","FHAD1"
5.97292769077997e-160,4.91834149654112,0.287,0.01,1.09334441379727e-155,"Neutrophils","ALPL"
1.31200708241271e-158,4.69315097845755,0.272,0.011,2.40162896435646e-154,"Neutrophils","S100A12"
3.50220801787062e-157,3.75399393432214,0.312,0.035,6.41079177671217e-153,"Neutrophils","STX3"
4.40402982491236e-157,5.1691914561212,0.262,0.01,8.06157659450208e-153,"Neutrophils","TNFAIP6"
1.45776783504448e-156,3.11585731053317,0.531,0.114,2.66844402204893e-152,"Neutrophils","PGD"
6.04152313188205e-156,3.05906341160052,0.565,0.104,1.10590080929101e-151,"Neutrophils","FCGR2A"
2.13475948468369e-155,4.38311852633433,0.262,0.016,3.90767723671349e-151,"Neutrophils","SLC2A14"
4.47883651601791e-153,4.80918317007412,0.251,0.01,8.19851024257078e-149,"Neutrophils","PADI4"
2.44829535068251e-151,2.26423275174956,0.961,0.43,4.48160463942434e-147,"Neutrophils","MX1"
4.84706819137799e-151,4.72998794219648,0.258,0.014,8.87255832431741e-147,"Neutrophils","FPR1"
1.26111441882143e-149,3.24436424648042,0.312,0.046,2.30846994365262e-145,"Neutrophils","RALB"
4.99961334636146e-149,2.27665397414615,0.639,0.193,9.15179223051465e-145,"Neutrophils","IFI44"
1.10680044050287e-148,2.88242831865629,0.466,0.119,2.0259982063405e-144,"Neutrophils","OAS3"
4.73700356306103e-147,3.86045612132688,0.322,0.034,8.67108502218322e-143,"Neutrophils","ADGRE1"
1.46126686724739e-146,2.36727101735778,0.53,0.164,2.67484900049635e-142,"Neutrophils","HERC5"
4.48927253138562e-146,2.31040038318319,0.625,0.234,8.21761336870138e-142,"Neutrophils","AIM2"
1.31255115764159e-145,3.84587571071466,0.256,0.018,2.40262489406293e-141,"Neutrophils","LTB4R"
1.79995183497194e-144,3.39185559550752,0.269,0.039,3.29481183391613e-140,"Neutrophils","PHACTR2"
