"Var1","Freq"
"NHP08.D006.fresh.a1.DASH2x3",400
"NHP09.D008.fresh.a1.DASH2x3",400
"NHP10.D007.fresh.a1.DASH.std",400
"NHP11.D006.fresh.a1.DASH.std",400
"NHP12.D008.fresh.a1.DASH1",219
"NHP13.D000.fresh.a1.DASH1.std",400
"NHP13.D003.fresh.a1.DASH.std",201
"NHP13.D003.FRZ.a1.std",34
"NHP13.D003.FRZ.a2.std",32
"NHP13.D003.FRZ.a3.std",64
"NHP13.D003.FRZ.MDCK.a4.std",88
"NHP13.D003.FRZ.MDCK.a5.std",111
"NHP13.D003.FRZ.MDCK.a6.std",71
"NHP14.D000.fresh.a1.std",397
"NHP14.D000.FRZ.a1.DASH.std",9
"NHP14.D000.FRZ.a2.DASH1",17
"NHP14.D000.FRZ.MDCK.a1.DASH.std",374
"NHP14.D003.fresh.a1.DASH.DASH2.std",303
"NHP14.D003.FRZ.a1.std",72
"NHP14.D003.FRZ.a2.std",64
"NHP14.D003.FRZ.a3.std",49
"NHP14.D003.FRZ.MDCK.a4.std",84
"NHP14.D003.FRZ.MDCK.a5.std",99
"NHP14.D003.FRZ.MDCK.a6.std",32
"NHP15.D000.fresh.a1.std",400
"NHP15.D003.fresh.a1.DASH.DASH2",341
"NHP15.D003.FRZ.MDCK.a1.std",116
"NHP15.D003.FRZ.MDCK.a2.std",134
"NHP15.D003.FRZ.MDCK.a3.std",106
"NHP15.D003.FRZ.MDCK.a4.std",44
"NHP16.D000.fresh.a1.std",194
"NHP16.D000.FRZ.a2.DASH1",160
"NHP17.D000.fresh.a1.std",211
"NHP18.D000.fresh.a1.DASH.std",273
"NHP19.D004.fresh.a1.std",38
"NHP19.D004.fresh.a2.std",362
"NHP19.D004.FRZ.MDCK.a1.std",66
"NHP19.D004.FRZ.MDCK.a2.std",122
"NHP19.D004.FRZ.MDCK.a3.std",95
"NHP19.D004.FRZ.MDCK.a4.std",33
"NHP19.D004.FRZ.MDCK.a5.std",42
"NHP19.D004.FRZ.MDCK.a6.std",42
"NHP22.D006.fresh.a1.std",89
"NHP22.D006.fresh.a2.std.std.std",311
"NHP22.D006.FRZ.MDCK.a1.std",38
"NHP22.D006.FRZ.MDCK.a2.std",70
"NHP22.D006.FRZ.MDCK.a3.std",41
"NHP22.D006.FRZ.MDCK.a4.std",112
"NHP22.D006.FRZ.MDCK.a5.std",56
"NHP22.D006.FRZ.MDCK.a6.std",83
"NHP23.D006.fresh.a1.std",148
"NHP23.D006.fresh.a2.DASH.DASH2.std",252
"NHP23.D006.FRZ.MDCK.a1.std",72
"NHP23.D006.FRZ.MDCK.a2.std",80
"NHP23.D006.FRZ.MDCK.a3.std",71
"NHP23.D006.FRZ.MDCK.a4.std",40
"NHP23.D006.FRZ.MDCK.a5.std",58
"NHP23.D006.FRZ.MDCK.a6.std",79
"NHP24.D006.fresh.a1.std.std.std",178
"NHP24.D006.fresh.a2.std.std.std",222
"NHP24.D006.FRZ.a1.std",38
"NHP24.D006.FRZ.a2.std",45
"NHP24.D006.FRZ.a3.std",71
"NHP24.D006.FRZ.MDCK.a4.std",65
"NHP24.D006.FRZ.MDCK.a5.std",108
"NHP24.D006.FRZ.MDCK.a6.std",73
"NHPC1.D000.fresh.a1.std",103
