"Var1","Freq"
"NHP08.D006.fresh.a1.DASH2x3",354
"NHP09.D008.fresh.a1.DASH2x3",348
"NHP10.D007.fresh.a1.DASH.std",281
"NHP11.D006.fresh.a1.DASH.std",352
"NHP12.D008.fresh.a1.DASH1",190
"NHP13.D000.fresh.a1.DASH1.std",362
"NHP13.D003.fresh.a1.DASH.std",171
"NHP13.D003.FRZ.a1.std",29
"NHP13.D003.FRZ.a2.std",28
"NHP13.D003.FRZ.a3.std",53
"NHP13.D003.FRZ.MDCK.a4.std",40
"NHP13.D003.FRZ.MDCK.a5.std",48
"NHP13.D003.FRZ.MDCK.a6.std",29
"NHP14.D000.fresh.a1.std",385
"NHP14.D000.FRZ.a1.DASH.std",8
"NHP14.D000.FRZ.a2.DASH1",15
"NHP14.D000.FRZ.MDCK.a1.DASH.std",38
"NHP14.D003.fresh.a1.DASH.DASH2.std",233
"NHP14.D003.FRZ.a1.std",64
"NHP14.D003.FRZ.a2.std",55
"NHP14.D003.FRZ.a3.std",38
"NHP14.D003.FRZ.MDCK.a4.std",56
"NHP14.D003.FRZ.MDCK.a5.std",45
"NHP14.D003.FRZ.MDCK.a6.std",23
"NHP15.D000.fresh.a1.std",355
"NHP15.D003.fresh.a1.DASH.DASH2",277
"NHP15.D003.FRZ.MDCK.a1.std",44
"NHP15.D003.FRZ.MDCK.a2.std",37
"NHP15.D003.FRZ.MDCK.a3.std",42
"NHP15.D003.FRZ.MDCK.a4.std",6
"NHP16.D000.fresh.a1.std",183
"NHP16.D000.FRZ.a2.DASH1",144
"NHP17.D000.fresh.a1.std",196
"NHP18.D000.fresh.a1.DASH.std",252
"NHP19.D004.fresh.a1.std",34
"NHP19.D004.fresh.a2.std",305
"NHP19.D004.FRZ.MDCK.a1.std",34
"NHP19.D004.FRZ.MDCK.a2.std",100
"NHP19.D004.FRZ.MDCK.a3.std",36
"NHP19.D004.FRZ.MDCK.a4.std",13
"NHP19.D004.FRZ.MDCK.a5.std",16
"NHP19.D004.FRZ.MDCK.a6.std",26
"NHP22.D006.fresh.a1.std",84
"NHP22.D006.fresh.a2.std.std.std",284
"NHP22.D006.FRZ.MDCK.a1.std",15
"NHP22.D006.FRZ.MDCK.a2.std",45
"NHP22.D006.FRZ.MDCK.a3.std",30
"NHP22.D006.FRZ.MDCK.a4.std",8
"NHP22.D006.FRZ.MDCK.a5.std",40
"NHP22.D006.FRZ.MDCK.a6.std",38
"NHP23.D006.fresh.a1.std",110
"NHP23.D006.fresh.a2.DASH.DASH2.std",196
"NHP23.D006.FRZ.MDCK.a1.std",65
"NHP23.D006.FRZ.MDCK.a2.std",62
"NHP23.D006.FRZ.MDCK.a3.std",57
"NHP23.D006.FRZ.MDCK.a4.std",22
"NHP23.D006.FRZ.MDCK.a5.std",48
"NHP23.D006.FRZ.MDCK.a6.std",67
"NHP24.D006.fresh.a1.std.std.std",128
"NHP24.D006.fresh.a2.std.std.std",198
"NHP24.D006.FRZ.a1.std",35
"NHP24.D006.FRZ.a2.std",40
"NHP24.D006.FRZ.a3.std",63
"NHP24.D006.FRZ.MDCK.a4.std",30
"NHP24.D006.FRZ.MDCK.a5.std",61
"NHP24.D006.FRZ.MDCK.a6.std",56
"NHPC1.D000.fresh.a1.std",94
