"Var1","Freq"
"NHP08.D006.fresh.a1.DASH2x3",339
"NHP09.D008.fresh.a1.DASH2x3",332
"NHP10.D007.fresh.a1.DASH.std",256
"NHP11.D006.fresh.a1.DASH.std",340
"NHP12.D008.fresh.a1.DASH1",183
"NHP13.D000.fresh.a1.DASH1.std",351
"NHP13.D003.fresh.a1.DASH.std",160
"NHP13.D003.FRZ.a1.std",29
"NHP13.D003.FRZ.a2.std",26
"NHP13.D003.FRZ.a3.std",52
"NHP13.D003.FRZ.MDCK.a4.std",35
"NHP13.D003.FRZ.MDCK.a5.std",41
"NHP13.D003.FRZ.MDCK.a6.std",26
"NHP14.D000.fresh.a1.std",370
"NHP14.D000.FRZ.a1.DASH.std",8
"NHP14.D000.FRZ.a2.DASH1",15
"NHP14.D000.FRZ.MDCK.a1.DASH.std",36
"NHP14.D003.fresh.a1.DASH.DASH2.std",218
"NHP14.D003.FRZ.a1.std",60
"NHP14.D003.FRZ.a2.std",52
"NHP14.D003.FRZ.a3.std",37
"NHP14.D003.FRZ.MDCK.a4.std",53
"NHP14.D003.FRZ.MDCK.a5.std",40
"NHP14.D003.FRZ.MDCK.a6.std",22
"NHP15.D000.fresh.a1.std",321
"NHP15.D003.fresh.a1.DASH.DASH2",261
"NHP15.D003.FRZ.MDCK.a1.std",37
"NHP15.D003.FRZ.MDCK.a2.std",36
"NHP15.D003.FRZ.MDCK.a3.std",36
"NHP15.D003.FRZ.MDCK.a4.std",6
"NHP16.D000.fresh.a1.std",180
"NHP16.D000.FRZ.a2.DASH1",140
"NHP17.D000.fresh.a1.std",189
"NHP18.D000.fresh.a1.DASH.std",244
"NHP19.D004.fresh.a1.std",34
"NHP19.D004.fresh.a2.std",296
"NHP19.D004.FRZ.MDCK.a1.std",32
"NHP19.D004.FRZ.MDCK.a2.std",97
"NHP19.D004.FRZ.MDCK.a3.std",34
"NHP19.D004.FRZ.MDCK.a4.std",13
"NHP19.D004.FRZ.MDCK.a5.std",16
"NHP19.D004.FRZ.MDCK.a6.std",25
"NHP22.D006.fresh.a1.std",81
"NHP22.D006.fresh.a2.std.std.std",276
"NHP22.D006.FRZ.MDCK.a1.std",15
"NHP22.D006.FRZ.MDCK.a2.std",44
"NHP22.D006.FRZ.MDCK.a3.std",26
"NHP22.D006.FRZ.MDCK.a4.std",8
"NHP22.D006.FRZ.MDCK.a5.std",39
"NHP22.D006.FRZ.MDCK.a6.std",36
"NHP23.D006.fresh.a1.std",99
"NHP23.D006.fresh.a2.DASH.DASH2.std",178
"NHP23.D006.FRZ.MDCK.a1.std",63
"NHP23.D006.FRZ.MDCK.a2.std",61
"NHP23.D006.FRZ.MDCK.a3.std",56
"NHP23.D006.FRZ.MDCK.a4.std",21
"NHP23.D006.FRZ.MDCK.a5.std",44
"NHP23.D006.FRZ.MDCK.a6.std",63
"NHP24.D006.fresh.a1.std.std.std",114
"NHP24.D006.fresh.a2.std.std.std",182
"NHP24.D006.FRZ.a1.std",33
"NHP24.D006.FRZ.a2.std",40
"NHP24.D006.FRZ.a3.std",62
"NHP24.D006.FRZ.MDCK.a4.std",28
"NHP24.D006.FRZ.MDCK.a5.std",55
"NHP24.D006.FRZ.MDCK.a6.std",54
"NHPC1.D000.fresh.a1.std",91
