"Var1","Freq"
"NHP08.D006.fresh.a1.DASH2x3",400
"NHP09.D008.fresh.a1.DASH2x3",400
"NHP12.D008.fresh.a1.DASH1",219
"NHP13.D003.FRZ.a1.std",34
"NHP13.D003.FRZ.a2.std",32
"NHP13.D003.FRZ.a3.std",64
"NHP14.D000.fresh.a1.std",397
"NHP14.D000.FRZ.a2.DASH1",17
"NHP14.D003.FRZ.a1.std",72
"NHP14.D003.FRZ.a2.std",64
"NHP14.D003.FRZ.a3.std",49
"NHP15.D000.fresh.a1.std",400
"NHP16.D000.fresh.a1.std",194
"NHP16.D000.FRZ.a2.DASH1",160
"NHP17.D000.fresh.a1.std",211
"NHP19.D004.fresh.a1.std",38
"NHP19.D004.fresh.a2.std",362
"NHP22.D006.fresh.a1.std",89
"NHP23.D006.fresh.a1.std",148
"NHP24.D006.FRZ.a1.std",38
"NHP24.D006.FRZ.a2.std",45
"NHP24.D006.FRZ.a3.std",71
"NHPC1.D000.fresh.a1.std",103
